sha256,size_bytes,relative_path,reason
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q11A.mp3,retained: path-dependent Flash/course/application resource or source package
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q12A.mp3,retained: path-dependent Flash/course/application resource or source package
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q17A.mp3,retained: path-dependent Flash/course/application resource or source package
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L2/FQ/SA/Q22A.mp3,retained: path-dependent Flash/course/application resource or source package
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L3/FQ/SA/Q8A.mp3,retained: path-dependent Flash/course/application resource or source package
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L5/FQ/SA/Q14A.mp3,retained: path-dependent Flash/course/application resource or source package
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L5/FQ/SA/Q15A.mp3,retained: path-dependent Flash/course/application resource or source package
8058ac1e19d24939beda4e7afee0752979dfccae3b0c20e4a94eda463724964b,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L5/FQ/SA/Q16A.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q12C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q22C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L12/FQ/SA/Q12C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L12/FQ/SA/Q1C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L12/FQ/SA/Q2C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L3/FQ/SA/Q11C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L3/FQ/SA/Q7C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L5/FQ/SA/Q14C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L5/FQ/SA/Q16C.mp3,retained: path-dependent Flash/course/application resource or source package
b1f07fb868e7e62923a1aac72d6e3541354455ccdd17546c249e9a6b53b4d40f,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L7/FQ/SA/Q4C.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/SA/Q25B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q11B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q1B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q23B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L12/FQ/SA/Q11B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L12/FQ/SA/Q2B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L3/FQ/SA/Q10B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L5/FQ/SA/Q12B.mp3,retained: path-dependent Flash/course/application resource or source package
c6312091480ce58f85e87a18a6330ba4577c715cdbb910264f38fa8f4c7a674a,11183,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L7/FQ/SA/Q2B.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L3/FQ/SA/Q16D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/SA/Q24D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/SA/Q25D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q22D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/SA/Q2D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L12/FQ/SA/Q1D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L3/FQ/SA/Q8D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L3/FQ/SA/Q9D.mp3,retained: path-dependent Flash/course/application resource or source package
4bb51dfaef4ea9d08485fd1700c7e88bb093ba468981e0ed7a9287bc16106ba3,10765,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR4/L5/FQ/SA/Q16D.mp3,retained: path-dependent Flash/course/application resource or source package
5e183ef8d159833897e1685e033db3da54e188b852c0712f30fb1b30903f4bd7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/EA/Q23D.mp3,retained: path-dependent Flash/course/application resource or source package
5e183ef8d159833897e1685e033db3da54e188b852c0712f30fb1b30903f4bd7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/EA/Q25D.mp3,retained: path-dependent Flash/course/application resource or source package
5e183ef8d159833897e1685e033db3da54e188b852c0712f30fb1b30903f4bd7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q11D.mp3,retained: path-dependent Flash/course/application resource or source package
5e183ef8d159833897e1685e033db3da54e188b852c0712f30fb1b30903f4bd7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q22D.mp3,retained: path-dependent Flash/course/application resource or source package
5e183ef8d159833897e1685e033db3da54e188b852c0712f30fb1b30903f4bd7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q23D.mp3,retained: path-dependent Flash/course/application resource or source package
663622bb9127e4950db3da96a60a09c2a4f93b25570416b5b91ca64694e67798,12019,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/EA/Q25A.mp3,retained: path-dependent Flash/course/application resource or source package
663622bb9127e4950db3da96a60a09c2a4f93b25570416b5b91ca64694e67798,12019,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q12A.mp3,retained: path-dependent Flash/course/application resource or source package
663622bb9127e4950db3da96a60a09c2a4f93b25570416b5b91ca64694e67798,12019,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q22A.mp3,retained: path-dependent Flash/course/application resource or source package
663622bb9127e4950db3da96a60a09c2a4f93b25570416b5b91ca64694e67798,12019,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q2A.mp3,retained: path-dependent Flash/course/application resource or source package
663622bb9127e4950db3da96a60a09c2a4f93b25570416b5b91ca64694e67798,12019,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q5A.mp3,retained: path-dependent Flash/course/application resource or source package
72d1e337b81939bace7eddf0b4994b469b73f3e4c8b103d82c06bda858dcd8a3,13720,For Subs SWF Example files/drive-download-20231212T160432Z-001/Conversion_1_1.swf,retained: path-dependent Flash/course/application resource or source package
72d1e337b81939bace7eddf0b4994b469b73f3e4c8b103d82c06bda858dcd8a3,13720,HELP Math Sample SWF_fla files/Conversion_1_1.swf,retained: path-dependent Flash/course/application resource or source package
72d1e337b81939bace7eddf0b4994b469b73f3e4c8b103d82c06bda858dcd8a3,13720,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_FORMULAS/ELEMENTARY/SWF/Copy of Conversion_1_1.swf,retained: path-dependent Flash/course/application resource or source package
eff29c133f8b8ecb8a899d011eec76f743537ecd489dc85c4386c8428c5daab7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/EA/Q25B.mp3,retained: path-dependent Flash/course/application resource or source package
eff29c133f8b8ecb8a899d011eec76f743537ecd489dc85c4386c8428c5daab7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q22B.mp3,retained: path-dependent Flash/course/application resource or source package
eff29c133f8b8ecb8a899d011eec76f743537ecd489dc85c4386c8428c5daab7,13273,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q24B.mp3,retained: path-dependent Flash/course/application resource or source package
cbb7f3f529c8c5ca679da864c7c49ab472cac4d0feb2392eed5aa04d21a4e1a9,12675,For Subs SWF Example files/drive-download-20231212T160432Z-001/Conversion_1_4.swf,retained: path-dependent Flash/course/application resource or source package
cbb7f3f529c8c5ca679da864c7c49ab472cac4d0feb2392eed5aa04d21a4e1a9,12675,HELP Math Sample SWF_fla files/Conversion_1_4.swf,retained: path-dependent Flash/course/application resource or source package
cbb7f3f529c8c5ca679da864c7c49ab472cac4d0feb2392eed5aa04d21a4e1a9,12675,Venky HM .fla files/HELPMATH/Sample SWF-fla HM Files/Sample SWF_fla files/Conversion_1_4.swf,retained: path-dependent Flash/course/application resource or source package
0a315ea564bcb79b809cabf1a5f406b3a16363f8ad654678ca2683534f09c818,16985,For Subs SWF Example files/drive-download-20231212T160432Z-001/Conversion_1_3.swf,retained: path-dependent Flash/course/application resource or source package
0a315ea564bcb79b809cabf1a5f406b3a16363f8ad654678ca2683534f09c818,16985,HELP Math Sample SWF_fla files/Conversion_1_3.swf,retained: path-dependent Flash/course/application resource or source package
91d63f9f045d2097cd0f46c59ceacd4faefd95851f9039003589d8052c39e758,16973,For Subs SWF Example files/drive-download-20231212T160432Z-001/Conversion_1_2.swf,retained: path-dependent Flash/course/application resource or source package
91d63f9f045d2097cd0f46c59ceacd4faefd95851f9039003589d8052c39e758,16973,HELP Math Sample SWF_fla files/Conversion_1_2.swf,retained: path-dependent Flash/course/application resource or source package
59c73158405af01e5f131abac4ac8b975eede1a1181235230747de4226a79177,14109,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L8/FQ/EA/Q24C.mp3,retained: path-dependent Flash/course/application resource or source package
59c73158405af01e5f131abac4ac8b975eede1a1181235230747de4226a79177,14109,Venky HM .fla files/HELPMATH/HELP_ELM_FINAL_Dec21_2015/HELP_COURSES/ELMGR3/L9/FQ/EA/Q2C.mp3,retained: path-dependent Flash/course/application resource or source package
d5805ebaf1a5e3ef276b8225020317cf4ac1807df1b136d687e443c55d926639,4095,For Venky 6-2021/For Venky/MVS Screens/html5_help2/images/btn_spanish_play.png,retained: path-dependent Flash/course/application resource or source package
d5805ebaf1a5e3ef276b8225020317cf4ac1807df1b136d687e443c55d926639,4095,For Venky 6-2021/For Venky/MVS Screens/html5_help2/images/btn_spanish_stop.png,retained: path-dependent Flash/course/application resource or source package
c4735ad0f9bdc266bb08cb9a614f0da18bfaf2b2bb57a3b25edb9a732e4dedf1,932,For Venky 6-2021/For Venky/MVS Screens/html5_help2/HELP_COURSES/ALG001/L1/TI/images/L1TI11_Drag_img10.png,retained: path-dependent Flash/course/application resource or source package
c4735ad0f9bdc266bb08cb9a614f0da18bfaf2b2bb57a3b25edb9a732e4dedf1,932,For Venky 6-2021/For Venky/MVS Screens/html5_help2/images/L1TI11_Drag_img10.png,retained: path-dependent Flash/course/application resource or source package
e3238a8091c9a6bf390e96ea8ddc8c1ba9074e2f68800e38d26cb16053082696,733,For Venky 6-2021/For Venky/MVS Screens/html5_help2/HELP_COURSES/ALG001/L1/FQ/L1FQ01.html,retained: path-dependent Flash/course/application resource or source package
e3238a8091c9a6bf390e96ea8ddc8c1ba9074e2f68800e38d26cb16053082696,733,For Venky 6-2021/For Venky/MVS Screens/html5_help2/HELP_COURSES/ALG001/L1/RW/L1RW04.html,retained: path-dependent Flash/course/application resource or source package
96c555282a134ddbc932f2cd9f17a98c0a85184b13d31d936142493e80a09d92,586,For Venky 6-2021/For Venky/MVS Screens/html5_help2/HELP_COURSES/ALG001/L1/TI/images/L1TI11_Drop_img02.png,retained: path-dependent Flash/course/application resource or source package
96c555282a134ddbc932f2cd9f17a98c0a85184b13d31d936142493e80a09d92,586,For Venky 6-2021/For Venky/MVS Screens/html5_help2/images/L1TI11_Drop_img02.png,retained: path-dependent Flash/course/application resource or source package
59991b51b8ee15b59f07ec45942957a4ce90494257766964f5df60b7c7998e42,26,HELP Math Browsers/HELP Math SB Browsers/help-math-darwin-x64/help-math.app/Contents/Frameworks/Mantle.framework/Resources,retained: path-dependent Flash/course/application resource or source package
59991b51b8ee15b59f07ec45942957a4ce90494257766964f5df60b7c7998e42,26,HELP Math Browsers/HELP Math SB Browsers/help-math-darwin-x64/help-math.app/Contents/Frameworks/ReactiveCocoa.framework/Resources,retained: path-dependent Flash/course/application resource or source package
559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,1,HELP Math Browsers/HELP Math SB Browsers/help-math-darwin-x64/help-math.app/Contents/Frameworks/Electron Framework.framework/Versions/Current,retained: path-dependent Flash/course/application resource or source package
559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,1,HELP Math Browsers/HELP Math SB Browsers/help-math-darwin-x64/help-math.app/Contents/Frameworks/Mantle.framework/Versions/Current,retained: path-dependent Flash/course/application resource or source package
