sha256,size_bytes,action,relative_path,keep_relative_path,mtime_ns,mode_octal,reason
a3d9aa050d9c03303d0ea007e514d70b4a9ac477b6db4447d27056a73105ebd1,166554,keep,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/ECSO 2025000653 - RAMO.pdf,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/ECSO 2025000653 - RAMO.pdf,1748825082000000000,0o664,reviewed exact documentary or media duplicate
a3d9aa050d9c03303d0ea007e514d70b4a9ac477b6db4447d27056a73105ebd1,166554,delete,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/EagleCSO 2025000653 - RAMO copy.pdf,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/ECSO 2025000653 - RAMO.pdf,1761099746000000000,0o664,reviewed exact documentary or media duplicate
a3d9aa050d9c03303d0ea007e514d70b4a9ac477b6db4447d27056a73105ebd1,166554,delete,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/EagleCSO 2025000653 - RAMO.pdf,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/ECSO 2025000653 - RAMO.pdf,1761099746000000000,0o664,reviewed exact documentary or media duplicate
a3d9aa050d9c03303d0ea007e514d70b4a9ac477b6db4447d27056a73105ebd1,166554,delete,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/Ramo ECSO 2025000653 - RAMO.pdf,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/ECSO 2025000653 - RAMO.pdf,1747354380000000000,0o664,reviewed exact documentary or media duplicate
8cf85c7515cc740ba19b630f8d2946ab0cfc158f31c782512afe31a6fdb1877b,154624,keep,HELP Math Trials & Leads/HELP Math Sales/HELP Math Trials/2019-01-30T08-18 [megan@helpprogram.net] Re_ Help Program Trial Form - Kendra Pauls - HELP Quick Start Guide Student.doc,HELP Math Trials & Leads/HELP Math Sales/HELP Math Trials/2019-01-30T08-18 [megan@helpprogram.net] Re_ Help Program Trial Form - Kendra Pauls - HELP Quick Start Guide Student.doc,1548778690000000000,0o664,reviewed exact documentary or media duplicate
8cf85c7515cc740ba19b630f8d2946ab0cfc158f31c782512afe31a6fdb1877b,154624,delete,HELP Math Trials & Leads/HELP Math Sales/HELP Math Trials/2019-04-12T08-13 [megan@helpprogram.net] Re_ Help Program Trial Form - Ms. Cynthia Diaz - HELP Quick Start Guide Student.doc,HELP Math Trials & Leads/HELP Math Sales/HELP Math Trials/2019-01-30T08-18 [megan@helpprogram.net] Re_ Help Program Trial Form - Kendra Pauls - HELP Quick Start Guide Student.doc,1555002818000000000,0o664,reviewed exact documentary or media duplicate
8cf85c7515cc740ba19b630f8d2946ab0cfc158f31c782512afe31a6fdb1877b,154624,delete,HM Trial requests/2019-01-30T08-18 [megan@helpprogram.net] Re_ Help Program Trial Form - Kendra Pauls - HELP Quick Start Guide Student.doc,HELP Math Trials & Leads/HELP Math Sales/HELP Math Trials/2019-01-30T08-18 [megan@helpprogram.net] Re_ Help Program Trial Form - Kendra Pauls - HELP Quick Start Guide Student.doc,1548778690000000000,0o664,reviewed exact documentary or media duplicate
8cf85c7515cc740ba19b630f8d2946ab0cfc158f31c782512afe31a6fdb1877b,154624,delete,HM Trial requests/2019-04-12T08-13 [megan@helpprogram.net] Re_ Help Program Trial Form - Ms. Cynthia Diaz - HELP Quick Start Guide Student.doc,HELP Math Trials & Leads/HELP Math Sales/HELP Math Trials/2019-01-30T08-18 [megan@helpprogram.net] Re_ Help Program Trial Form - Kendra Pauls - HELP Quick Start Guide Student.doc,1555002818000000000,0o664,reviewed exact documentary or media duplicate
0984f01e03dd6642d6ff45f89a80b38eb2b85e84f5241e20b1b0e33a42e4d98e,425661,delete,HM Screenshots for Brandon/HM Screenshots for Brandon2/Screen Shot 2020-05-08 at 12.35.45 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.35.45 PM.png,1588908950000000000,0o664,reviewed exact documentary or media duplicate
0984f01e03dd6642d6ff45f89a80b38eb2b85e84f5241e20b1b0e33a42e4d98e,425661,keep,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.35.45 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.35.45 PM.png,1588908950000000000,0o664,reviewed exact documentary or media duplicate
7a4ff52d91ebc9fc3a3938dfd65938cfd5f927a3f615418d3c3fb92ebe3a4887,384654,delete,HM Screenshots for Brandon/HM Screenshots for Brandon2/Screen Shot 2020-05-08 at 12.34.32 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.34.32 PM.png,1588908878000000000,0o664,reviewed exact documentary or media duplicate
7a4ff52d91ebc9fc3a3938dfd65938cfd5f927a3f615418d3c3fb92ebe3a4887,384654,keep,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.34.32 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.34.32 PM.png,1588908878000000000,0o664,reviewed exact documentary or media duplicate
393ae13e730f303a27f66fff138a66f706a1bb782fb7a137e27c1d307aacd3f2,365551,delete,HM Screenshots for Brandon/HM Screenshots for Brandon2/Screen Shot 2020-05-08 at 12.32.47 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.32.47 PM.png,1588908772000000000,0o664,reviewed exact documentary or media duplicate
393ae13e730f303a27f66fff138a66f706a1bb782fb7a137e27c1d307aacd3f2,365551,keep,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.32.47 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.32.47 PM.png,1588908772000000000,0o664,reviewed exact documentary or media duplicate
8b4900d627378de5904f24f052de2a6fcf85d3237814987948c5e96669476b02,358318,delete,HM Screenshots for Brandon/HM Screenshots for Brandon2/Screen Shot 2020-05-08 at 12.31.47 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.31.47 PM.png,1588908712000000000,0o664,reviewed exact documentary or media duplicate
8b4900d627378de5904f24f052de2a6fcf85d3237814987948c5e96669476b02,358318,keep,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.31.47 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.31.47 PM.png,1588908712000000000,0o664,reviewed exact documentary or media duplicate
02f3a44b1a49bc5f210c308b5f96ae8ef5c42b2cf050aa8fbb1789d49d0d45fc,349489,delete,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/Ramo and Schwarcz v Coinbase - For Review (1).pdf,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/Ramo and Schwarcz v Coinbase - For Review.pdf,1750052856000000000,0o664,reviewed exact documentary or media duplicate
02f3a44b1a49bc5f210c308b5f96ae8ef5c42b2cf050aa8fbb1789d49d0d45fc,349489,keep,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/Ramo and Schwarcz v Coinbase - For Review.pdf,HELP Math Trials & Leads/Personal/Personal Finance/Coinbase Scam 2025/John Ramo Coinbase Scam 5-8-25/Ramo and Schwarcz v Coinbase - For Review.pdf,1749117426000000000,0o664,reviewed exact documentary or media duplicate
8ea0f2c739a32d11c8ef7463012728a757e64ab65548f22a925b2b7b3484dfa2,172891,keep,HELP Math Research/HELP Math Research #1/HELP Math 2.0 Scope.pdf,HELP Math Research/HELP Math Research #1/HELP Math 2.0 Scope.pdf,1581045736000000000,0o664,reviewed exact documentary or media duplicate
8ea0f2c739a32d11c8ef7463012728a757e64ab65548f22a925b2b7b3484dfa2,172891,delete,HM Reboot _24 BF/For Bill/HELP Math 2.0 Scope.pdf,HELP Math Research/HELP Math Research #1/HELP Math 2.0 Scope.pdf,1581045736000000000,0o664,reviewed exact documentary or media duplicate
8ea0f2c739a32d11c8ef7463012728a757e64ab65548f22a925b2b7b3484dfa2,172891,delete,Sunburst HM /HELP Math 2.0 Scope.pdf,HELP Math Research/HELP Math Research #1/HELP Math 2.0 Scope.pdf,1581045736000000000,0o664,reviewed exact documentary or media duplicate
f20a7a67f228c7785cd8a62c1d1ba0631730faabadb0fabaf6cc46c721f1f132,331427,keep,HELP Math Research/HELP Math Research #1/HELP Math Research Summary Univ Colorado (2011 final).pdf,HELP Math Research/HELP Math Research #1/HELP Math Research Summary Univ Colorado (2011 final).pdf,1375407874000000000,0o664,reviewed exact documentary or media duplicate
f20a7a67f228c7785cd8a62c1d1ba0631730faabadb0fabaf6cc46c721f1f132,331427,delete,HM Reboot _24 BF/For Bill/HELP Math Research Summary Univ Colorado (2011 final).pdf,HELP Math Research/HELP Math Research #1/HELP Math Research Summary Univ Colorado (2011 final).pdf,1375407874000000000,0o664,reviewed exact documentary or media duplicate
0394b1233fc19d9d566eb7fd11816b85fc8935f36568b12300183d367c812e92,223550,keep,HELP Math UCCS Study.pdf,HELP Math UCCS Study.pdf,1582255056000000000,0o664,reviewed exact documentary or media duplicate
0394b1233fc19d9d566eb7fd11816b85fc8935f36568b12300183d367c812e92,223550,delete,HM Reboot _24 BF/For Bill/HELP Math UCCS Study.pdf,HELP Math UCCS Study.pdf,1562806922000000000,0o664,reviewed exact documentary or media duplicate
01b8c36ca8ccadb34b43d10570379a5037270277bc207629508c10a68b090405,207134,keep,HELP Math Research/HELP Math Research #1/Understanding_Math_Learning_Disabilities_(Freeman_&_Crawford_2010).pdf,HELP Math Research/HELP Math Research #1/Understanding_Math_Learning_Disabilities_(Freeman_&_Crawford_2010).pdf,1297494432000000000,0o664,reviewed exact documentary or media duplicate
01b8c36ca8ccadb34b43d10570379a5037270277bc207629508c10a68b090405,207134,delete,HELP Math Research/HELP Math Reserach2/Understanding_Math_Learning_Disabilities_(Freeman_&_Crawford_2010).pdf,HELP Math Research/HELP Math Research #1/Understanding_Math_Learning_Disabilities_(Freeman_&_Crawford_2010).pdf,1297494432000000000,0o664,reviewed exact documentary or media duplicate
55bbd0ef06166a4253843672dc10b4945781e20349d006db51fb9d68b5c0c84f,180549,delete,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14 3.xlsx,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14.xlsx,1567740280000000000,0o664,reviewed exact documentary or media duplicate
55bbd0ef06166a4253843672dc10b4945781e20349d006db51fb9d68b5c0c84f,180549,keep,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14.xlsx,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14.xlsx,1567740280000000000,0o664,reviewed exact documentary or media duplicate
0d09e1e2d1eee06802cad7126259c27ea007ac70b413c63be960f7ca81f4d27f,176807,keep,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14 2.xlsx,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14 2.xlsx,1567740280000000000,0o664,reviewed exact documentary or media duplicate
0d09e1e2d1eee06802cad7126259c27ea007ac70b413c63be960f7ca81f4d27f,176807,delete,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14 4.xlsx,HM 2.0 Alignments for LH/Grades 3-5 TEKS alignments for 2012 _ADCOR9-14 2.xlsx,1567740280000000000,0o664,reviewed exact documentary or media duplicate
9f1f73a466c26878edb699db249cc109b1f4b596df70b00acd7ce4fe5cecb019,172364,keep,2. Business Case for HM Reboot Round 8-23.pdf,2. Business Case for HM Reboot Round 8-23.pdf,1699332604000000000,0o664,reviewed exact documentary or media duplicate
9f1f73a466c26878edb699db249cc109b1f4b596df70b00acd7ce4fe5cecb019,172364,delete,Angel II HELP Math Reboot Round 8-23/Boulder Learning Angel II Round 2024 PDF_s/2. Business Case for HM Reboot Round 8-23.pdf,2. Business Case for HM Reboot Round 8-23.pdf,1692324856000000000,0o664,reviewed exact documentary or media duplicate
f0166243b853f84dc27d0ea98309b64bbaf7c67372d019fb1f6ebf7bd2316dca,56141,delete,HM 2.0 Alignments for LH/Grades 6-8 HM TEKS Crosswalk alignments for 2012 2.xlsx,HM 2.0 Alignments for LH/Grades 6-8 HM TEKS alignments for 2012.xlsx,1567740280000000000,0o664,reviewed exact documentary or media duplicate
f0166243b853f84dc27d0ea98309b64bbaf7c67372d019fb1f6ebf7bd2316dca,56141,delete,HM 2.0 Alignments for LH/Grades 6-8 HM TEKS Crosswalk alignments for 2012.xlsx,HM 2.0 Alignments for LH/Grades 6-8 HM TEKS alignments for 2012.xlsx,1567740282000000000,0o664,reviewed exact documentary or media duplicate
f0166243b853f84dc27d0ea98309b64bbaf7c67372d019fb1f6ebf7bd2316dca,56141,keep,HM 2.0 Alignments for LH/Grades 6-8 HM TEKS alignments for 2012.xlsx,HM 2.0 Alignments for LH/Grades 6-8 HM TEKS alignments for 2012.xlsx,1567740278000000000,0o664,reviewed exact documentary or media duplicate
f0166243b853f84dc27d0ea98309b64bbaf7c67372d019fb1f6ebf7bd2316dca,56141,delete,HM Reboot _24 BF/For Bill/Grades 6-8 HM TEKS alignments for 2012.xlsx,HM 2.0 Alignments for LH/Grades 6-8 HM TEKS alignments for 2012.xlsx,1423543108000000000,0o664,reviewed exact documentary or media duplicate
ee27f08b1a84b70e675c95742639450d0eaccd324973a7e336d63d986fc6c247,156773,keep,HELP Math Research/HELP Math Research #1/Competition Math Programs.docx,HELP Math Research/HELP Math Research #1/Competition Math Programs.docx,1453169910000000000,0o664,reviewed exact documentary or media duplicate
ee27f08b1a84b70e675c95742639450d0eaccd324973a7e336d63d986fc6c247,156773,delete,Sunburst HM /Competition Math Programs.docx,HELP Math Research/HELP Math Research #1/Competition Math Programs.docx,1453169910000000000,0o664,reviewed exact documentary or media duplicate
de2b184eb1ef873d32de7f3fc566e27b024f0b41c6a2aa270ff860dfb01ce164,51564,delete,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14 2.xlsx,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14.xlsx,1567740284000000000,0o664,reviewed exact documentary or media duplicate
de2b184eb1ef873d32de7f3fc566e27b024f0b41c6a2aa270ff860dfb01ce164,51564,delete,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14 3.xlsx,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14.xlsx,1567740284000000000,0o664,reviewed exact documentary or media duplicate
de2b184eb1ef873d32de7f3fc566e27b024f0b41c6a2aa270ff860dfb01ce164,51564,delete,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14 4.xlsx,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14.xlsx,1567740284000000000,0o664,reviewed exact documentary or media duplicate
de2b184eb1ef873d32de7f3fc566e27b024f0b41c6a2aa270ff860dfb01ce164,51564,keep,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14.xlsx,HM 2.0 Alignments for LH/Grades 6-8 TEKS alignments for 2012 _ADCOR9-14.xlsx,1567740284000000000,0o664,reviewed exact documentary or media duplicate
c774d49d8d6910327beea19b7d14397a4466cd39d544acebe352ee61c53b6795,153611,delete,HM Screenshots for Brandon/HM Screenshots for Brandon2/Screen Shot 2020-05-08 at 12.32.15 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.32.15 PM.png,1588908740000000000,0o664,reviewed exact documentary or media duplicate
c774d49d8d6910327beea19b7d14397a4466cd39d544acebe352ee61c53b6795,153611,keep,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.32.15 PM.png,HM Screenshots for Brandon/Screen Shot 2020-05-08 at 12.32.15 PM.png,1588908740000000000,0o664,reviewed exact documentary or media duplicate
0b9410ead075be4c84859746a7294e241961eafef248ab038c13b03bdf029c4b,72192,keep,HELP Math Research/HELP Math Research #1/HELP Math 2.0 Summary.doc,HELP Math Research/HELP Math Research #1/HELP Math 2.0 Summary.doc,1548805300000000000,0o664,reviewed exact documentary or media duplicate
0b9410ead075be4c84859746a7294e241961eafef248ab038c13b03bdf029c4b,72192,delete,HELP Math Research/HELP Math Reserach2/HELP Math 2.0 Summary.doc,HELP Math Research/HELP Math Research #1/HELP Math 2.0 Summary.doc,1548805300000000000,0o664,reviewed exact documentary or media duplicate
