asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,Bauhaus Md BT,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,0fc588f79dbfd0c9181d8464231de6f6ffa2953651b362b9d8823f16902234ff,DefineFont2,,26,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=1887; rawTagPayloadSha256=0fc588f79dbfd0c9181d8464231de6f6ffa2953651b362b9d8823f16902234ff; exactTagIdentitySha256=b4f8bd1ff9b99d6c473548448420470cba8156f3e57c880f1cfb1bc220e8acb9; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00030,18,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,71f49d2461665253b8aab15ddbbba0d2851869421a3725148b752849191a4d00,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=25; rawTagPayloadSha256=71f49d2461665253b8aab15ddbbba0d2851869421a3725148b752849191a4d00; exactTagIdentitySha256=3c75b21f8de54f0979a08220e3ca14142a4277993fc471a7c332ec61625b38cf; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00031,19,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,717ad38421556048ec1bf8d0e2c0b2b58018fd830fd3b6e1dcc35167c8ccb389,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=25; rawTagPayloadSha256=717ad38421556048ec1bf8d0e2c0b2b58018fd830fd3b6e1dcc35167c8ccb389; exactTagIdentitySha256=88a40e387f5982e8c190c75da856678488ba8cdde7a182f19f842c23937df222; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00032,20,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,5654448d631d9cc0dae398d388a57870ad60c5c363cc3e99eb4f276b35073d73,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=25; rawTagPayloadSha256=5654448d631d9cc0dae398d388a57870ad60c5c363cc3e99eb4f276b35073d73; exactTagIdentitySha256=ebc81cc61cbea5ef6c017fe87e0e3d687ea5c104d9cfea862c8ee07428a7167a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00033,21,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,9addcd60f99c7990bfff8980cc5d0b4f8a3c5ec2a4b7e1cab967f2f3c78baec8,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=25; rawTagPayloadSha256=9addcd60f99c7990bfff8980cc5d0b4f8a3c5ec2a4b7e1cab967f2f3c78baec8; exactTagIdentitySha256=33c9a5f9950081a6308811b608cd6334ddc997c37d990056e58f86a5fd1db4ed; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00034,22,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,bf11625aadfc5d906fd7e1bd40da58cf6d44d3904658714309dbb1120872ab72,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=25; rawTagPayloadSha256=bf11625aadfc5d906fd7e1bd40da58cf6d44d3904658714309dbb1120872ab72; exactTagIdentitySha256=ea1d11e738529b2cf260ccf8279c60f420a049402ae2318579fd225d3d1bb624; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00035,23,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,a2da15536bc00284e29d09930ff37de90e87224053ed27967d6df796122455bb,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=25; rawTagPayloadSha256=a2da15536bc00284e29d09930ff37de90e87224053ed27967d6df796122455bb; exactTagIdentitySha256=eb4a0e49727b93bf0c057d465c6ee8025c1534e26701621ada345763f4129eae; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00036,24,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,e6dcad98a32151925ca8e0c118683a223986392deaf07e3bcad321587528089d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=25; rawTagPayloadSha256=e6dcad98a32151925ca8e0c118683a223986392deaf07e3bcad321587528089d; exactTagIdentitySha256=2d5f757376475ddd79fb04204897661c794d1b2c2d2c6604a52efaa45e567d33; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00037,25,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,e637eb99ede3b6ad964717c6cca21034702c266aef58aaf2c604e62255b88b4a,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=25; rawTagPayloadSha256=e637eb99ede3b6ad964717c6cca21034702c266aef58aaf2c604e62255b88b4a; exactTagIdentitySha256=add7de2fb6fbfe478c2a0cb8d4bdb85f5228dc13599de441d53212ddd1c7af23; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00038,26,arial,font,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,3c7635084eff4cf7a8c7fc9ed2ad322c30e6c22bff8bd19612464a9de1326c83,DefineFont2,,2,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=204; rawTagPayloadSha256=3c7635084eff4cf7a8c7fc9ed2ad322c30e6c22bff8bd19612464a9de1326c83; exactTagIdentitySha256=9f975cad0074389c58fc804f41ee2c593d52af3bccd50ea62c938607213d40a7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00039,27,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,5054ff52fd9493eefe944b36b27f0b7f3f6ca7a2b2d0ba45137851bb21569103,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=25; rawTagPayloadSha256=5054ff52fd9493eefe944b36b27f0b7f3f6ca7a2b2d0ba45137851bb21569103; exactTagIdentitySha256=5f3815da701c3b7be7f900e41ab82332c194e7bba7284f2b4f6aa488149beceb; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00040,28,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,ba03bcc08e5d2c22ac22ef70436d3170480cafe9ceabb6ad42fc73a9a1e1a01f,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=25; rawTagPayloadSha256=ba03bcc08e5d2c22ac22ef70436d3170480cafe9ceabb6ad42fc73a9a1e1a01f; exactTagIdentitySha256=6e029d2f33a9293a06b0cb2342817a7794027cdcd8dc4e503f08465afc64644c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00041,29,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,7a068c653c4407226c00e6f302f0f35e0082c71cb8148e74bb00153c82526c2b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=41; payloadBytes=25; rawTagPayloadSha256=7a068c653c4407226c00e6f302f0f35e0082c71cb8148e74bb00153c82526c2b; exactTagIdentitySha256=6725a1ffa22f412bed2c36b709703ae564637f3f01354343419c9cf6d42554d2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00042,30,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,4649f960e810189e1f4e636d0a42aae32767802873d248d12e67b08d81da62c0,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=25; rawTagPayloadSha256=4649f960e810189e1f4e636d0a42aae32767802873d248d12e67b08d81da62c0; exactTagIdentitySha256=729ee50ee97eed1394d3891d4ba4f46d321f8d026e43e68ec306c109cd95a23c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00043,31,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,5e9c8927e933016f16d9d88ea06e0e92d39604f1534b45d47be721f8a0809cc3,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=25; rawTagPayloadSha256=5e9c8927e933016f16d9d88ea06e0e92d39604f1534b45d47be721f8a0809cc3; exactTagIdentitySha256=992bce5e90418ba103467e9b7b8ad7cbfe3fbc7b8e4bb13997c5da6dac7dff4c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00044,32,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,966422c621f7c02eac5fc90a367c26a3e70ff7799524e1b95cf64ab69ede309d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=44; payloadBytes=25; rawTagPayloadSha256=966422c621f7c02eac5fc90a367c26a3e70ff7799524e1b95cf64ab69ede309d; exactTagIdentitySha256=b00f907a9073f36be66830a10eb11916634b6f86941fdf015ea37bb488886833; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00045,33,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,baa2af94b7f48165b59b6a35fc188f757856221cd4f880ecb50da4cc8c355a1f,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=45; payloadBytes=25; rawTagPayloadSha256=baa2af94b7f48165b59b6a35fc188f757856221cd4f880ecb50da4cc8c355a1f; exactTagIdentitySha256=9b5a44660f99956fbf86e7c3a2c45524976607dc3cc52cbb2b11835667b73d09; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00046,34,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,a7f78faa4ee458faafcb8cc288b9c5dad644f4d6e81b6f6a6378fa45dd0ba3e6,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=46; payloadBytes=25; rawTagPayloadSha256=a7f78faa4ee458faafcb8cc288b9c5dad644f4d6e81b6f6a6378fa45dd0ba3e6; exactTagIdentitySha256=566241b521050e55896fe55c76de08edf0f656e335d927bb086fb377aeb91fcf; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00047,35,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,f502ef1f3518b23bb37031bc29c77b3ae6cf3e65e4ee8157e34cf9c356b379d7,DefineShape2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=279; rawTagPayloadSha256=f502ef1f3518b23bb37031bc29c77b3ae6cf3e65e4ee8157e34cf9c356b379d7; exactTagIdentitySha256=d20f50cd0d0c1b71f4e65561a0edcf9104923611f194b00d0790a083107075f8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00048,36,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,5423f5748f1346c7cd147b040a9fdc557478eb519ae91f37a0bc1d0381828542,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=25; rawTagPayloadSha256=5423f5748f1346c7cd147b040a9fdc557478eb519ae91f37a0bc1d0381828542; exactTagIdentitySha256=eb798588a398f580a523f948155047617c73d7ab1d96247eb3da839db1a9658a; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00049,37,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,9bd53fedf9b78858d7de78a5c197e02492d549e9d4a7c6235ea314fcceeea097,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=25; rawTagPayloadSha256=9bd53fedf9b78858d7de78a5c197e02492d549e9d4a7c6235ea314fcceeea097; exactTagIdentitySha256=7163b2cb67da61d976763e8bb2fcebfb0e98780b2b328585c15a675f6d88062d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00050,38,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,9ce2176dd5df1c09002bfc30b17d75d843efa18cbf0561d382805754c35cf8ac,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=55; rawTagPayloadSha256=9ce2176dd5df1c09002bfc30b17d75d843efa18cbf0561d382805754c35cf8ac; exactTagIdentitySha256=a2cfd5211187ed3b752ff5b121c066e8602d784464bf693cb5c3a9aaf29a7d26; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00051,39,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,9a06579f53b28f28d0223a225521380f440e8f17708367acf48f11748b8b006d,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=53; rawTagPayloadSha256=9a06579f53b28f28d0223a225521380f440e8f17708367acf48f11748b8b006d; exactTagIdentitySha256=28e9be97b3c126fa79e8883c845ec39451325532f13d9be313a55e162d408789; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00052,40,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L4/VB/L4VB09.swf,,,a571b52942c34aebc3dee9563ef170bf48dd5af513abc9a0d1714f2680b86378,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=52; payloadBytes=33; rawTagPayloadSha256=a571b52942c34aebc3dee9563ef170bf48dd5af513abc9a0d1714f2680b86378; exactTagIdentitySha256=de5316cec89f90abc2739ea32f18f429ae0a7a801c1dd4c831bea42be8b8adac; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
