asset_id,swf_character_id,library_symbol,type,source_file,source_frame,exported_file,sha256,format,dimensions_or_bounds,font_glyphs,transformation,confidence,license_or_provenance,notes
swf-definition-00011,1,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,17feb75f3e0125cd73366ba88db15196814ae3539abcb49f8d4f3d0aa7d18c46,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=11; payloadBytes=2292; rawTagPayloadSha256=17feb75f3e0125cd73366ba88db15196814ae3539abcb49f8d4f3d0aa7d18c46; exactTagIdentitySha256=d7564ada000d00627d247b4a7701887f00d08b7a1b0ee3b971b09d0631f026e8; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00023,12,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,126cbb20e3aa33f12c50f25c9b2a849b80def473dfee147528c5a1fc75f588c6,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=23; payloadBytes=74; rawTagPayloadSha256=126cbb20e3aa33f12c50f25c9b2a849b80def473dfee147528c5a1fc75f588c6; exactTagIdentitySha256=7893d11237831b66d1e257110d6b62f63e97bd851fb6c9f2784f0de4b6e404ec; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00024,13,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,ca85c28491ad90da1a39c78572749526003684d0c7ad24e2e83e0f1c07c7f99d,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=24; payloadBytes=170; rawTagPayloadSha256=ca85c28491ad90da1a39c78572749526003684d0c7ad24e2e83e0f1c07c7f99d; exactTagIdentitySha256=31974cbe4f19853a706a1784bc8ff0eee37f41175ffd7529259eed2ae5f34ef5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00025,14,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,4988aa81bc1d59a659f380a0ee9e83c755415f6ceb1485708ee05dfe6c878a25,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=25; payloadBytes=170; rawTagPayloadSha256=4988aa81bc1d59a659f380a0ee9e83c755415f6ceb1485708ee05dfe6c878a25; exactTagIdentitySha256=8803d74e1bb21f02c7c234938124280b4cfadbd56b6459b208ed8bb92daf70d1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00026,15,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,cda6a82eccc64b20746abea4c90cfb40e6b60b44d29fc526d0f15fe50a7d9e15,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=26; payloadBytes=75; rawTagPayloadSha256=cda6a82eccc64b20746abea4c90cfb40e6b60b44d29fc526d0f15fe50a7d9e15; exactTagIdentitySha256=adfc044bb118d6da2310d8cdbe35119e9a9daa8b35a174623330e40683bba9d1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00027,16,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,50c875a4648bfabe40d33235463a1d62cd8677e54a0f6053c37a08c71c4086ce,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=27; payloadBytes=81; rawTagPayloadSha256=50c875a4648bfabe40d33235463a1d62cd8677e54a0f6053c37a08c71c4086ce; exactTagIdentitySha256=2bccd3ff69486081c2f1e00ef5d3f95c6adcbd2da87ec965a410280fb8c5ed9e; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00028,17,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,66664f572474ab1265a4790a171b643cb9975d6f4f5ed6bfe2e39c2b238f7181,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=28; payloadBytes=166; rawTagPayloadSha256=66664f572474ab1265a4790a171b643cb9975d6f4f5ed6bfe2e39c2b238f7181; exactTagIdentitySha256=54042c7d3d268fc37e5c6a43d06508db393ef5d985a0710091b1e7e1a7ff36d7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00029,18,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,de32f05e2441941f90645bfb054db214d106ac0e679012e3f43a9b562c86e25d,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=29; payloadBytes=78; rawTagPayloadSha256=de32f05e2441941f90645bfb054db214d106ac0e679012e3f43a9b562c86e25d; exactTagIdentitySha256=85ddca5ec8dffeec350c8ce95f77b661d470083667fa271e02b639e49d4637f5; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00030,19,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,27609155e01614b19d8ca1c0a5f634ffa5f7fbb354cce0c849f4ae2101f9e9dc,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=30; payloadBytes=75; rawTagPayloadSha256=27609155e01614b19d8ca1c0a5f634ffa5f7fbb354cce0c849f4ae2101f9e9dc; exactTagIdentitySha256=041a01238faf68cf83d66f1bebe45ef14c4ffc593c5ac1c80281ecea98e89a48; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00031,20,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,7b195e7d857613a32d1430c149bc05cc6a298e04689f99a9d4c6de6b7988b8db,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=31; payloadBytes=33; rawTagPayloadSha256=7b195e7d857613a32d1430c149bc05cc6a298e04689f99a9d4c6de6b7988b8db; exactTagIdentitySha256=99c2fd81419154f9381f1a9415535cc0fd1ae433e0a2a2b07690232a50edbd32; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00032,21,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,e84c27d92045d83f955b8f380ba6cfccfa51166d3efe0b07ca212267490b203d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=32; payloadBytes=75; rawTagPayloadSha256=e84c27d92045d83f955b8f380ba6cfccfa51166d3efe0b07ca212267490b203d; exactTagIdentitySha256=58d4d56144647b669b4d7664b530bb02fa102567eca010e48fd41cacd945e45c; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00033,22,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,c231a4fd6474d599667ef3fbd869d19b0f95038756ec72ab5f7acf90a75edcf8,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=33; payloadBytes=170; rawTagPayloadSha256=c231a4fd6474d599667ef3fbd869d19b0f95038756ec72ab5f7acf90a75edcf8; exactTagIdentitySha256=c0b6cfe99c39df975ad91e2a136698f4926c8f247a99411a58ebfcacbcd2c6f2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00034,23,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,4bb1d16330b5499621c95d4a412a9d7ac008eda61c20923fbbea3ebfb108bf44,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=34; payloadBytes=169; rawTagPayloadSha256=4bb1d16330b5499621c95d4a412a9d7ac008eda61c20923fbbea3ebfb108bf44; exactTagIdentitySha256=97beb695bc0e5822485cf4258e73cce10b53d552a6ec5e0667e466791641fcb7; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00035,24,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,6bc1f7a0b80d3c2806f2591fdacb47933c5c5c1c8f95af3349cceec9a229c509,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=35; payloadBytes=76; rawTagPayloadSha256=6bc1f7a0b80d3c2806f2591fdacb47933c5c5c1c8f95af3349cceec9a229c509; exactTagIdentitySha256=fa1da395d7bc3f767f6cf92b83a418221bb2947f0b8257ad4259974894d5560b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00036,25,,shape,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,af757793209b95d4f287bea6194aa4d25259fee14bd509c44ed2ed75e6b09c77,DefineShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=36; payloadBytes=33; rawTagPayloadSha256=af757793209b95d4f287bea6194aa4d25259fee14bd509c44ed2ed75e6b09c77; exactTagIdentitySha256=e8859c301ed971530e64420b8b41266fa1231b5e760e1342d79d3005d4473506; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00037,26,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,603b7f57652928c8300ff6db8957fcfac5ffe647e96e62ae7896adb4bdbcce74,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=37; payloadBytes=79; rawTagPayloadSha256=603b7f57652928c8300ff6db8957fcfac5ffe647e96e62ae7896adb4bdbcce74; exactTagIdentitySha256=a78a59991c8d0a7f3fcfecdcbe2a5763c4ba3610a63fd8bc9150873aee1e9be1; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00038,27,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,35a4ff0eed964a346cea6857ed266665df420d385d1f9c5f3cb867488c034528,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=38; payloadBytes=168; rawTagPayloadSha256=35a4ff0eed964a346cea6857ed266665df420d385d1f9c5f3cb867488c034528; exactTagIdentitySha256=cb48fb16618832114c799a02873b0ab99e5f2b0cc5294928915d88c9e55200af; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00039,28,,button,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,52753cd720e647c034078d9cf128317f0e9057419f42fd2d84bdd957d0778380,DefineButton2,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=39; payloadBytes=168; rawTagPayloadSha256=52753cd720e647c034078d9cf128317f0e9057419f42fd2d84bdd957d0778380; exactTagIdentitySha256=973da5a769f3ea8efc3a5b6a29cbf6bed4765b0ca0df03100376385885a71006; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00040,29,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,162b50bb00dc8459443120d1bc5ad68d9cd5fc1e2184375fe6ed1832b26a7321,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=40; payloadBytes=74; rawTagPayloadSha256=162b50bb00dc8459443120d1bc5ad68d9cd5fc1e2184375fe6ed1832b26a7321; exactTagIdentitySha256=957418c77979b8711fab9249d85b1507f92d64285d9487a6bacbcc4b4658875d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00041,30,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,47ee392bbbe7dc73cc06aad7aed6063894f716afa859dc64be4a5b1bbcbeac0f,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=41; payloadBytes=38; rawTagPayloadSha256=47ee392bbbe7dc73cc06aad7aed6063894f716afa859dc64be4a5b1bbcbeac0f; exactTagIdentitySha256=c48e4326aeeaa360c42be7e58dae7e01e3f6fd9871a622821cc80c47c020948d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00042,31,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,0f097e7cfa25558b9f89d2cd3dbe0808bea0792be865a0fb6d0e6e11aae4f529,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=42; payloadBytes=74; rawTagPayloadSha256=0f097e7cfa25558b9f89d2cd3dbe0808bea0792be865a0fb6d0e6e11aae4f529; exactTagIdentitySha256=069211ddb4eac2a43d8ab9d44abc27988c83c8b0245c08eb06af84f1a4dc503d; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00043,32,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,e6107939cbb196bd7bea380b616f32452e2e1f70ef988c448529da154f40477b,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=43; payloadBytes=63; rawTagPayloadSha256=e6107939cbb196bd7bea380b616f32452e2e1f70ef988c448529da154f40477b; exactTagIdentitySha256=3bfbda714a147d6d0798cba64030a969299f2838c7ac56b3580110b1e092c1bc; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00044,33,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,433d1cb4975ac0b7ce19ab44fe5334bbcef421c382abedf3fb316ed228ec02fa,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=44; payloadBytes=76; rawTagPayloadSha256=433d1cb4975ac0b7ce19ab44fe5334bbcef421c382abedf3fb316ed228ec02fa; exactTagIdentitySha256=bc121e76e1b3d6faf2d2b5ee23f4af83335def89e9782d48e8939079e8cbbb88; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00045,34,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,1fc91e36875c9abcfb4c6ede711babda72e4e3e1ad1d3cca8323502922575c4c,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=45; payloadBytes=65; rawTagPayloadSha256=1fc91e36875c9abcfb4c6ede711babda72e4e3e1ad1d3cca8323502922575c4c; exactTagIdentitySha256=575d01a90f7fa707d4d7e184bf18babb1d3925da384e7df275d7e782aa318a5b; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00046,35,,morph,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,5cb5ddc6bfe6b6286e2886fe112a370a45459ffe4c284b0afe8a57009012f778,DefineMorphShape,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=46; payloadBytes=77; rawTagPayloadSha256=5cb5ddc6bfe6b6286e2886fe112a370a45459ffe4c284b0afe8a57009012f778; exactTagIdentitySha256=c564f43fa2e2f5eccf2267e65ce503b6a8a175ea108010f700b59e4c401c3ee4; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00047,36,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,f961a45e13f0246bb9e108a77057f935ed7421fd1aeed3acc4537b0ce3116b3d,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=47; payloadBytes=53; rawTagPayloadSha256=f961a45e13f0246bb9e108a77057f935ed7421fd1aeed3acc4537b0ce3116b3d; exactTagIdentitySha256=62e01d8018642fde9f0b7904f38b022e80cda4152acb3c8aab80345b4de4d233; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00048,37,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,16ba3d4c0952b93a353c5ef05dedd535389d41aa04f430124f833ccbefdf9eb1,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=48; payloadBytes=26; rawTagPayloadSha256=16ba3d4c0952b93a353c5ef05dedd535389d41aa04f430124f833ccbefdf9eb1; exactTagIdentitySha256=a354d2811439dcdf9e01513fa8586f6fb8a0b1ed426fdb9f2f36a434e990e4f2; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00049,38,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,a06e4dc3a805c579d798b20dfa22db8642191789fe71cfe2bc77e41f88536110,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=49; payloadBytes=26; rawTagPayloadSha256=a06e4dc3a805c579d798b20dfa22db8642191789fe71cfe2bc77e41f88536110; exactTagIdentitySha256=c8ca1ad72cddf1892daea20ac8f495503c6d3a354f9a8622ee3b4946e5ba78ae; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00050,39,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,552f7465fdcf3b8f64c70810aeba3ef90a73f0f51c8aad4664c4ea8a334619e6,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=50; payloadBytes=25; rawTagPayloadSha256=552f7465fdcf3b8f64c70810aeba3ef90a73f0f51c8aad4664c4ea8a334619e6; exactTagIdentitySha256=b35f067eb33740b18cda929782ccd57793e793e1e71a2a64d25a20156de0a0ed; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
swf-definition-00051,40,,text,source-assets/flash/HELP MATH_ORIGINAL FILES/HELP_COURSES/ELMGR5/L5/IN/L5IN07.swf,,,9e13de4b513f085e58f559023d947a70afd2678a4923a98e510ddc59d1e22ec9,DefineText,,,none; machine census only; no renderer export,machine-extracted-definition-candidate,owner-provided SWF,container=root; definitionDepth=0; tagOrdinal=51; payloadBytes=32; rawTagPayloadSha256=9e13de4b513f085e58f559023d947a70afd2678a4923a98e510ddc59d1e22ec9; exactTagIdentitySha256=da9aa4142807f1ad96244d17f514f53ebd214ad82feec9f8b08350ea70e601ea; runtime reachability unresolved; placement and bounds unresolved; renderer suitability unresolved
