frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
53,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4333.333,default,en,transition,second ActionScript-cleared blank frame,source frame 53 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-053.png,265a8a05139fb1e179e913a6a600605856f8be7533781f5a07c90bff829460d4,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
54,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4416.667,default,en,transition,teaching composition restored,source frame 54 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-054.png,991cee35787f65e29b18fbf1a769c040337e1848db394d5c41f2a6f40d63bf3c,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
58,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4750.000,default,en,transition,cup highlight visible,source frame 58 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-058.png,478244c899a432b0d7b20d97d784092fd1ec83582caea556103e4e94e2e9fceb,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
59,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4833.333,default,en,transition,cup highlight removed,source frame 59 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-059.png,991cee35787f65e29b18fbf1a769c040337e1848db394d5c41f2a6f40d63bf3c,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
66,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,5416.667,default,en,transition,ounce callout fade boundary,source frame 66 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-066.png,71ba1e6b28141f14371e159ba6f67be6ffa76a9577f6fd1b7f3445199b2f6549,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
73,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,6000.000,default,en,transition,ounce callout gone,source frame 73 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-073.png,0ab878684acbaac19f41f3acd3239b3cef387b1ceeaf83a97436accf11067e86,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
75,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,6166.667,default,en,transition,final formula fade begins,source frame 75 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-075.png,a54b9258181a7417780cc6cbdc0a7e330b104fe16f2c14fc8fd55e99f68a254b,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
85,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,7000.000,default,en,transition,final formula fully visible,source frame 85 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-085.png,7258bd8061fdff7d2c290ec7d4827e656967a7c94d4f099a2926af7d9484e670,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
88,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,7250.000,default,en,transition,Replay fade begins,source frame 88 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-088.png,9a467f0985809f87f7a0a4af8650dc40f121360bb7572f1b94bff43688a2a205,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
94,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,7750.000,default,en,transition,terminal Replay state,source frame 94 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-en/frame-094.png,b06c72aefe6c2196da9e1a13e219c53792cd7d70e2d9a6f13e744c69b489151e,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,0.000,default,es,static,Spanish Mc_SD panel visible at initial child frame,deterministic frame query,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-es/frame-001.png,a5c89e0c2f87f8c6323e25fe78c6086d493daf4a658e29ef7494741595ea25e3,,,,,,,,"Child visual only; not original-host audio human or owner acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
52,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,4250.000,default,es,static,Spanish Mc_SD persists over first dynamic blank frame,deterministic frame query,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-es/frame-052.png,ea84590b7a1f056ae0df34bd5c7bf243ee84a16c84b14f9eef616ce786f3dbd3,,,,,,,,"Child visual only; not original-host audio human or owner acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
53,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,4333.333,default,es,static,Spanish Mc_SD persists over second dynamic blank frame,deterministic frame query,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-es/frame-053.png,ea84590b7a1f056ae0df34bd5c7bf243ee84a16c84b14f9eef616ce786f3dbd3,,,,,,,,"Child visual only; not original-host audio human or owner acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
94,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,7750.000,default,es,static,Spanish Mc_SD persists at terminal Replay state,deterministic frame query,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-01-v3/req-root-default-es/frame-094.png,805106869420853af28d7d1861461c71e999c743c362c5afb6afbf66d10c908f,,,,,,,,"Child visual only; not original-host audio human or owner acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
